,Rk,Player,Age,Team,Pos,GP,GS,W,L,T/O,GA,Shots,SV,SV%,GAA,SO,MIN,QS,QS%,RBS,GA%-,GSAA,GAA/A,GPS,G,A,PTS,PIM,Awards
0,1.0,Braden Holtby,25.0,WSH,G,408.0,403.0,239.0,112.0,42.0,1018.0,11759.0,10741.0,0.925,2.22,24.0,4247:293841:113680:103067:483406:342743:101260:291318:28,229.0,0.636,7.0,90.0,17.5,2.63,14.4,0.0,2.0,2.0,2.0,"ASnhl-4  ,  Hart-18  ,  Vezina-4"
1,2.0,Jonathan Quick,29.0,LAK,G,486.0,473.0,233.0,181.0,59.0,1250.0,13338.0,12088.0,0.921,2.24,31.0,4184:154034:29930:573677:052647:342516:141218:492685:522234:451698:23536:221582:44,236.0,0.647,9.0,96.0,5.8,2.65,12.1,0.0,1.0,1.0,18.0,Vezina-7
2,3.0,Tuukka Rask,27.0,BOS,G,368.0,360.0,206.0,105.0,44.0,836.0,10123.0,9287.0,0.929,2.3,29.0,4063:013678:033679:303173:052635:092401:471396:27196:21,207.0,0.683,8.0,91.0,15.6,2.73,14.0,0.0,0.0,0.0,8.0,
3,4.0,Cory Schneider,28.0,NJD,G,267.0,260.0,100.0,118.0,38.0,660.0,7691.0,7031.0,0.925,2.26,14.0,3923:553412:263472:502332:151371:47679:1660:00,140.0,0.69,7.0,87.0,21.2,2.69,14.5,0.0,2.0,2.0,0.0,ASnhl-5
4,5.0,Carey Price,27.0,MTL,G,343.0,340.0,182.0,124.0,35.0,844.0,10113.0,9269.0,0.934,1.96,24.0,3976:33698:203708:082854:373880:153439:491478:45297:30,191.0,0.667,6.0,78.0,36.7,2.32,16.2,0.0,1.0,1.0,4.0,"ASG  ,  ASnhl-1  ,  Hart-1  ,  Pearson-1  ,  Jennings-1  ,  Vezina-1"
5,6.0,Kari Lehtonen,31.0,DAL,G,204.0,186.0,96.0,66.0,22.0,520.0,5488.0,4968.0,0.912,2.94,11.0,3697:412279:113177:091944:18,96.0,0.633,12.0,113.0,-21.0,3.5,8.7,0.0,3.0,3.0,2.0,
6,7.0,Marc-AndrÃ© Fleury,30.0,PIT,G,550.0,540.0,301.0,184.0,55.0,1396.0,16073.0,14677.0,0.928,2.32,51.0,3776:113462:332125:152673:243635:082880:062146:363284:522626:58657:542654:172232:40,299.0,0.722,6.0,93.0,10.3,2.75,12.2,0.0,1.0,1.0,6.0,"ASG  ,  ASnhl-7  ,  Hart-18"
7,8.0,Pekka Rinne,32.0,NSH,G,366.0,361.0,206.0,115.0,38.0,876.0,10397.0,9521.0,0.927,2.18,28.0,3850:473895:223567:473475:273219:441987:461310:29,207.0,0.678,7.0,91.0,14.2,2.59,12.6,0.0,1.0,1.0,8.0,"ASnhl-3  ,  Hart-8  ,  Vezina-2"
8,9.0,Ben Bishop,28.0,TBL,G,344.0,333.0,185.0,112.0,30.0,757.0,9418.0,8661.0,0.934,2.32,26.0,3519:003584:382222:371812:36410:012886:502637:182473:49,193.0,0.689,8.0,98.0,2.3,2.75,10.0,0.0,4.0,4.0,4.0,ASnhl-8
9,10.0,Mike Smith,32.0,ARI,G,345.0,337.0,152.0,146.0,34.0,921.0,10332.0,9411.0,0.923,3.16,17.0,3555:471752:543202:083190:362400:192156:511846:331579:58,175.0,0.633,12.0,112.0,-20.1,3.78,9.3,0.0,1.0,1.0,10.0,
10,11.0,Roberto Luongo,35.0,FLA,G,241.0,233.0,116.0,80.0,31.0,586.0,7109.0,6523.0,0.929,2.35,11.0,3528:113601:512326:341965:582346:38,133.0,0.667,9.0,93.0,10.8,2.79,11.8,0.0,0.0,0.0,0.0,ASG
11,12.0,Antti Niemi,31.0,SJS,G,211.0,191.0,90.0,72.0,28.0,555.0,5896.0,5341.0,0.929,2.59,10.0,3587:542653:471728:301213:06128:0858:421026:16968:48,93.0,0.706,9.0,100.0,-0.4,3.08,10.8,0.0,3.0,3.0,0.0,
12,13.0,Jaroslav HalÃ¡k,29.0,NYI,G,309.0,291.0,151.0,104.0,40.0,774.0,8911.0,8137.0,0.922,2.43,23.0,3549:572091:111605:293024:032308:071833:221090:01796:391453:56,162.0,0.625,7.0,101.0,-1.2,2.89,9.9,0.0,1.0,1.0,2.0,ASG
13,14.0,Jonathan Bernier,26.0,TOR,G,287.0,260.0,110.0,124.0,27.0,748.0,8322.0,7574.0,0.915,2.87,11.0,3177:092146:461993:112001:231859:542565:561306:27510:06,130.0,0.652,11.0,103.0,-3.9,3.42,10.0,0.0,1.0,1.0,0.0,
14,15.0,Devan Dubnyk,28.0,2TM,G,449.0,428.0,234.0,154.0,38.0,1048.0,12620.0,11572.0,0.936,2.07,32.0,3328:121034:562293:163861:243758:003450:193855:161664:391182:22887:44294:38,244.0,0.718,4.0,83.0,23.7,2.47,12.6,0.0,2.0,2.0,2.0,"ASnhl-2  ,  Hart-4  ,  Vezina-3"
15,16.0,Corey Crawford,30.0,CHI,G,277.0,275.0,145.0,103.0,24.0,671.0,8382.0,7711.0,0.929,2.27,16.0,3332:323322:393246:521583:302212:512340:03,166.0,0.69,4.0,89.0,15.8,2.7,11.9,0.0,1.0,1.0,8.0,"ASG  ,  ASnhl-10  ,  Jennings-1  ,  Vezina-6"
16,17.0,Ben Scrivens,28.0,EDM,G,72.0,67.0,20.0,34.0,11.0,212.0,1989.0,1777.0,0.906,3.16,1.0,3227:34821:58,23.0,0.358,13.0,129.0,-38.4,3.77,4.6,0.0,1.0,1.0,4.0,
17,18.0,Semyon Varlamov,26.0,COL,G,401.0,385.0,178.0,156.0,44.0,1027.0,12143.0,11116.0,0.929,2.56,28.0,3306:503159:251347:472861:032839:122517:192116:561792:171334:441594:44,217.0,0.743,6.0,92.0,11.9,3.05,12.2,0.0,0.0,0.0,4.0,
18,19.0,Frederik Andersen,25.0,ANA,G,467.0,457.0,275.0,122.0,52.0,1158.0,13678.0,12520.0,0.932,2.38,27.0,3105:432297:563799:203888:313510:153006:401420:073070:531984:21912:53,264.0,0.75,9.0,100.0,-0.4,2.82,8.6,0.0,3.0,3.0,4.0,
19,20.0,Jimmy Howard,30.0,DET,G,258.0,243.0,94.0,110.0,33.0,674.0,7300.0,6626.0,0.927,2.44,6.0,2970:351973:531396:433367:373052:331371:34,123.0,0.667,8.0,105.0,-5.8,2.91,7.4,0.0,1.0,1.0,2.0,
20,21.0,Jonas Hiller,32.0,CGY,G,78.0,67.0,35.0,30.0,5.0,192.0,2030.0,1838.0,0.918,2.36,2.0,2870:531350:52,30.0,0.523,3.0,96.0,4.4,2.8,8.8,0.0,0.0,0.0,0.0,
21,22.0,Sergei Bobrovsky,26.0,CBJ,G,521.0,514.0,301.0,170.0,34.0,1325.0,15340.0,14015.0,0.931,2.68,35.0,2994:262116:213707:043911:343556:402805:591816:283082:102834:223414:14,290.0,0.651,3.0,96.0,5.3,3.21,10.4,0.0,2.0,2.0,4.0,
22,23.0,Steve Mason,26.0,PHI,G,176.0,167.0,72.0,64.0,30.0,420.0,5040.0,4620.0,0.928,2.25,11.0,2885:233150:263224:37684:53,88.0,0.604,4.0,85.0,19.2,2.66,11.3,0.0,3.0,3.0,2.0,ASnhl-6
23,24.0,Cam Ward,30.0,CAR,G,240.0,233.0,110.0,89.0,35.0,632.0,6705.0,6073.0,0.91,2.4,6.0,3025:433038:043617:552459:201882:03,115.0,0.52,7.0,105.0,-5.7,2.86,7.4,0.0,0.0,0.0,4.0,
24,25.0,OndÅej Pavelec,27.0,WPG,G,110.0,97.0,43.0,42.0,13.0,268.0,3014.0,2746.0,0.92,2.28,7.0,2837:511899:01439:30903:42,44.0,0.5,5.0,94.0,7.5,2.71,9.0,0.0,0.0,0.0,2.0,
25,26.0,Jhonas Enroth,26.0,2TM,G,122.0,105.0,43.0,60.0,6.0,339.0,3547.0,3208.0,0.922,3.07,6.0,2833:362204:02629:34856:18274:26,48.0,0.615,7.0,113.0,-16.6,3.66,7.0,0.0,0.0,0.0,0.0,
26,27.0,Brian Elliott,29.0,STL,G,308.0,285.0,163.0,90.0,31.0,756.0,8282.0,7526.0,0.93,2.26,20.0,2545:482263:002844:252522:001396:431673:541607:431063:251324:44,153.0,0.684,8.0,98.0,2.2,2.69,7.2,0.0,3.0,3.0,0.0,ASG
27,28.0,Henrik Lundqvist,32.0,NYR,G,313.0,304.0,150.0,115.0,34.0,823.0,9541.0,8718.0,0.922,2.25,14.0,2742:363772:223240:263502:323088:531596:44,175.0,0.63,4.0,91.0,10.4,2.67,9.2,0.0,1.0,1.0,0.0,"ASnhl-8  ,  Vezina-5"
28,29.0,Ryan Miller,34.0,VAN,G,237.0,221.0,97.0,95.0,30.0,613.0,7003.0,6390.0,0.928,2.53,15.0,2541:313043:293211:511353:161108:481238:14870:55,112.0,0.619,8.0,105.0,-4.7,3.0,6.6,0.0,0.0,0.0,0.0,
29,30.0,Eddie LÃ¤ck,27.0,VAN,G,111.0,94.0,42.0,42.0,13.0,279.0,2957.0,2678.0,0.921,2.45,5.0,2323:571920:061089:51343:37136:12207:25,43.0,0.514,5.0,93.0,7.5,2.92,8.1,0.0,0.0,0.0,2.0,
30,31.0,Michael Hutchinson,24.0,WPG,G,176.0,144.0,63.0,74.0,21.0,466.0,4633.0,4167.0,0.944,2.38,8.0,2138:221585:571378:20128:45496:10201:14294:56847:01787:0160:00421:5278:43755:2757:48,58.0,1.0,7.0,101.0,-0.8,2.83,5.8,0.0,0.0,0.0,0.0,Calder-8
31,32.0,Jake Allen,24.0,STL,G,448.0,427.0,198.0,182.0,46.0,1195.0,12784.0,11589.0,0.927,2.28,23.0,2077:022583:223418:193316:582567:571339:041702:361947:402450:251986:531216:20770:33,222.0,0.667,6.0,102.0,-1.4,2.72,5.3,0.0,2.0,2.0,2.0,"AR-1  ,  Calder-10"
32,33.0,Cam Talbot,27.0,NYR,G,500.0,478.0,244.0,187.0,44.0,1295.0,14534.0,13239.0,0.926,2.21,29.0,2094:573222:494294:003730:061905:161694:34210:421434:391961:272864:231947:003116:07,249.0,0.656,2.0,87.0,11.6,2.61,7.6,0.0,0.0,0.0,0.0,Vezina-7
33,34.0,Craig Anderson,33.0,OTT,G,338.0,325.0,151.0,140.0,33.0,962.0,10597.0,9635.0,0.926,2.49,17.0,2092:313476:322421:143250:322785:111845:11168:441867:151490:02,158.0,0.625,2.0,90.0,9.8,2.95,8.0,0.0,0.0,0.0,4.0,
34,35.0,James Reimer,26.0,TOR,G,401.0,363.0,167.0,143.0,55.0,1046.0,11632.0,10586.0,0.938,3.16,22.0,1766:532290:271809:01481:262324:352411:251805:111378:011331:062672:412538:001352:24,190.0,0.652,7.0,109.0,-7.6,3.77,5.1,0.0,0.0,0.0,2.0,
35,36.0,Anton Khudobin,28.0,CAR,G,203.0,185.0,81.0,73.0,31.0,485.0,5502.0,5017.0,0.93,2.72,8.0,1920:21356:20884:471780:432219:301677:291794:37462:2860:00,102.0,0.731,9.0,117.0,-12.4,3.25,3.8,0.0,0.0,0.0,0.0,
36,37.0,Karri RÃ¤mÃ¶,28.0,CGY,G,71.0,69.0,32.0,27.0,4.0,169.0,1886.0,1717.0,0.912,2.6,3.0,1731:472144:38,34.0,0.541,5.0,103.0,-2.3,3.08,4.8,0.0,0.0,0.0,0.0,
37,38.0,Curtis McElhinney,31.0,CBJ,G,173.0,148.0,73.0,66.0,17.0,439.0,4941.0,4502.0,0.934,2.88,9.0,1710:01835:261134:39375:55758:44979:071977:311080:56719:19,71.0,0.6,2.0,101.0,-1.0,3.44,5.6,0.0,0.0,0.0,0.0,
38,39.0,Michal Neuvirth,26.0,2TM,G,153.0,141.0,53.0,70.0,17.0,388.0,4342.0,3954.0,0.924,2.98,4.0,1849:451543:48305:571825:291363:381038:43365:38,70.0,0.586,4.0,101.0,-0.9,3.57,6.3,0.0,0.0,0.0,0.0,
39,40.0,Ray Emery,32.0,PHI,G,31.0,25.0,10.0,11.0,7.0,80.0,758.0,678.0,0.894,3.06,0.0,1569:31,13.0,0.52,6.0,124.0,-15.3,3.63,2.7,0.0,0.0,0.0,4.0,
40,41.0,Darcy Kuemper,24.0,MIN,G,386.0,365.0,177.0,132.0,47.0,952.0,11111.0,10159.0,0.932,2.6,33.0,1568:431063:241053:021595:53999:13596:403251:151753:241546:373258:453223:471866:32,199.0,0.759,7.0,111.0,-6.7,3.1,3.5,0.0,0.0,0.0,0.0,
41,42.0,Petr MrÃ¡zek,22.0,DET,G,418.0,384.0,179.0,163.0,44.0,1107.0,11823.0,10716.0,0.923,2.38,27.0,1585:022960:352857:312096:421183:31913:112386:512320:59670:591042:072165:103152:40,190.0,0.633,6.0,96.0,2.6,2.84,4.9,0.0,0.0,0.0,0.0,
42,43.0,Viktor Fasth,32.0,EDM,G,26.0,24.0,6.0,15.0,3.0,76.0,681.0,605.0,0.888,3.41,0.0,1336:29,9.0,0.375,9.0,131.0,-17.9,4.09,1.9,0.0,0.0,0.0,0.0,
43,44.0,Anders LindbÃ¤ck,26.0,2TM,G,71.0,57.0,17.0,39.0,5.0,193.0,2039.0,1846.0,0.924,3.11,0.0,1407:58516:59890:59906:08,21.0,0.533,3.0,107.0,-4.9,3.71,4.2,0.0,1.0,1.0,4.0,
44,45.0,Robin Lehner,23.0,OTT,G,339.0,327.0,150.0,127.0,44.0,872.0,10469.0,9597.0,0.94,3.02,16.0,1471:201164:053405:282852:012615:492055:281875:28180:001155:192546:39,176.0,0.667,2.0,111.0,-7.5,3.59,3.8,0.0,1.0,1.0,0.0,
45,46.0,Andrew Hammond,26.0,OTT,G,77.0,69.0,35.0,25.0,8.0,195.0,2166.0,1971.0,0.941,1.79,4.0,1410:591382:19205:3958:22586:28200:10386:18,41.0,1.0,1.0,70.0,18.3,2.13,6.5,0.0,1.0,1.0,0.0,"Hart-15  ,  Vezina-7"
46,47.0,John Gibson,21.0,ANA,G,474.0,463.0,190.0,206.0,61.0,1311.0,14522.0,13211.0,0.926,2.6,23.0,1339:552294:402950:213428:293233:022981:172030:303235:353004:552561:29,246.0,0.65,4.0,101.0,-0.5,3.09,4.0,0.0,0.0,0.0,0.0,
